occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
manual_worker,32,high_school,married,unidentified,May,16,77,1,unidentified,not_converted
manual_worker,37,elementary_school,married,mobile,May,15,14,2,other_outcome,not_converted
executive,37,college,married,mobile,November,18,204,2,unidentified,not_converted
domestic_worker,52,high_school,married,landline,May,12,210,3,unidentified,not_converted
executive,56,college,divorced,mobile,July,28,101,4,unidentified,not_converted
manual_worker,37,elementary_school,married,unidentified,May,21,165,2,unidentified,not_converted
manual_worker,35,high_school,married,mobile,July,31,128,2,unidentified,not_converted
retired_worker,56,college,single,mobile,November,19,198,1,unidentified,not_converted
manual_worker,48,elementary_school,married,mobile,July,7,120,1,unidentified,not_converted
manual_worker,45,elementary_school,married,unidentified,May,14,174,2,unidentified,not_converted
administrative_staff,54,high_school,married,landline,November,17,44,1,unidentified,not_converted
manual_worker,48,elementary_school,married,unidentified,May,21,248,3,unidentified,not_converted
service_worker,46,high_school,married,mobile,February,9,84,4,unsuccessful,not_converted
manual_worker,44,college,married,mobile,May,13,788,3,other_outcome,not_converted
independent_worker,41,high_school,married,unidentified,May,15,27,1,unidentified,not_converted
executive,39,high_school,married,unidentified,May,27,1168,2,unidentified,not_converted
jobless,33,college,married,mobile,June,15,92,1,unsuccessful,not_converted
technical_specialist,53,high_school,divorced,mobile,January,28,70,1,unsuccessful,not_converted
manual_worker,40,elementary_school,married,mobile,July,7,107,3,unidentified,not_converted
manual_worker,27,high_school,single,mobile,February,9,268,5,unsuccessful,not_converted
executive,42,high_school,divorced,unidentified,May,19,112,1,unidentified,not_converted
technical_specialist,44,college,single,mobile,October,16,324,1,unsuccessful,converted
technical_specialist,39,high_school,married,mobile,August,22,147,4,unidentified,not_converted
independent_worker,39,high_school,married,unidentified,May,23,146,4,unidentified,not_converted
manual_worker,42,high_school,married,unidentified,May,15,124,1,unidentified,not_converted
executive,46,high_school,divorced,mobile,April,20,113,2,unsuccessful,not_converted
technical_specialist,42,high_school,married,mobile,July,30,351,2,unidentified,not_converted
executive,38,elementary_school,divorced,mobile,May,11,296,1,unidentified,not_converted
executive,43,college,single,unidentified,June,12,462,3,unidentified,not_converted
manual_worker,39,elementary_school,married,unidentified,May,8,117,2,unidentified,not_converted
technical_specialist,33,college,single,mobile,August,8,348,2,unidentified,not_converted
administrative_staff,55,high_school,divorced,mobile,November,20,324,7,unsuccessful,not_converted
administrative_staff,57,elementary_school,married,mobile,August,5,100,3,unidentified,not_converted
manual_worker,45,elementary_school,married,mobile,August,18,113,4,unidentified,not_converted
executive,30,college,single,mobile,August,21,220,5,unidentified,not_converted
technical_specialist,45,college,married,mobile,July,29,109,3,unidentified,not_converted
executive,35,college,married,mobile,May,11,155,2,unsuccessful,not_converted
executive,46,college,divorced,unidentified,May,16,94,1,unidentified,not_converted
executive,57,high_school,married,mobile,August,12,301,1,unidentified,not_converted
executive,55,college,single,unidentified,May,16,92,1,unidentified,not_converted
manual_worker,29,elementary_school,married,mobile,May,13,431,2,unidentified,not_converted
executive,49,college,married,unidentified,May,13,50,3,unidentified,not_converted
retired_worker,54,high_school,married,landline,February,5,305,4,unidentified,not_converted
executive,31,college,single,mobile,January,28,572,1,unidentified,not_converted
service_worker,38,high_school,single,mobile,March,2,207,1,unidentified,converted
executive,37,college,married,landline,November,16,135,8,successful,not_converted
administrative_staff,34,high_school,single,mobile,November,20,259,1,unidentified,not_converted
executive,52,high_school,married,mobile,April,23,477,2,unidentified,not_converted
administrative_staff,32,high_school,married,mobile,July,24,151,2,unidentified,not_converted
domestic_worker,58,elementary_school,married,unidentified,June,4,763,4,unidentified,not_converted
executive,47,elementary_school,married,mobile,July,7,62,4,unidentified,not_converted
service_worker,53,high_school,married,mobile,August,28,116,8,unidentified,not_converted
administrative_staff,43,unidentified,single,unidentified,June,19,156,6,unidentified,not_converted
technical_specialist,38,college,married,mobile,August,13,139,2,unidentified,not_converted
manual_worker,49,high_school,married,landline,July,31,56,9,unidentified,not_converted
technical_specialist,26,high_school,single,mobile,October,30,217,1,unidentified,converted
independent_worker,41,college,single,landline,January,28,229,1,successful,not_converted
service_worker,29,college,married,unidentified,May,28,143,2,unidentified,not_converted
executive,39,high_school,single,unidentified,June,3,348,2,unidentified,not_converted
independent_worker,33,high_school,married,mobile,August,18,73,7,unidentified,not_converted
independent_worker,35,college,married,mobile,July,8,201,1,unidentified,not_converted
manual_worker,60,elementary_school,married,mobile,August,12,429,2,unidentified,converted
executive,36,college,married,landline,October,22,73,1,other_outcome,not_converted
service_worker,41,unidentified,married,mobile,July,29,710,2,unidentified,converted
independent_worker,44,college,married,mobile,August,18,515,5,unidentified,not_converted
independent_worker,54,high_school,married,mobile,August,21,180,4,unidentified,not_converted
executive,29,college,single,mobile,February,12,138,2,successful,converted
executive,50,college,married,mobile,April,3,707,1,unsuccessful,converted
manual_worker,47,elementary_school,married,mobile,August,8,492,3,unidentified,not_converted
administrative_staff,51,high_school,married,mobile,February,4,149,2,unidentified,not_converted
manual_worker,33,elementary_school,married,mobile,May,5,316,1,successful,not_converted
business_owner,40,college,married,mobile,November,20,57,1,unidentified,not_converted
jobless,35,high_school,married,unidentified,June,19,461,2,unidentified,not_converted
manual_worker,41,elementary_school,married,mobile,February,6,620,4,successful,not_converted
administrative_staff,40,high_school,divorced,unidentified,June,11,363,1,unidentified,not_converted
jobless,53,elementary_school,married,mobile,April,30,168,2,unidentified,not_converted
executive,32,college,married,mobile,August,8,83,1,unidentified,not_converted
manual_worker,46,high_school,married,mobile,August,20,381,3,unidentified,not_converted
technical_specialist,30,high_school,married,mobile,August,19,163,2,unidentified,not_converted
service_worker,34,elementary_school,married,mobile,February,3,625,4,unidentified,not_converted
manual_worker,32,elementary_school,married,unidentified,May,8,23,4,unidentified,not_converted
manual_worker,43,high_school,married,unidentified,September,14,6,1,other_outcome,not_converted
manual_worker,38,high_school,married,unidentified,June,9,254,1,unidentified,not_converted
retired_worker,52,elementary_school,married,landline,June,1,192,1,unidentified,not_converted
administrative_staff,34,high_school,single,mobile,April,20,111,1,unidentified,not_converted
manual_worker,52,elementary_school,divorced,unidentified,May,9,167,4,unidentified,not_converted
technical_specialist,32,college,single,mobile,August,5,168,3,unidentified,not_converted
service_worker,31,high_school,married,mobile,July,25,174,3,unidentified,not_converted
manual_worker,43,elementary_school,married,mobile,November,17,48,2,unidentified,not_converted
manual_worker,28,high_school,single,unidentified,May,13,452,2,unidentified,not_converted
service_worker,37,high_school,married,mobile,May,13,95,1,unsuccessful,not_converted
technical_specialist,38,high_school,divorced,mobile,May,4,301,3,successful,converted
manual_worker,45,elementary_school,married,mobile,August,11,79,6,unidentified,not_converted
administrative_staff,46,high_school,divorced,unidentified,May,26,120,1,unidentified,not_converted
business_owner,37,college,single,unidentified,June,11,157,6,unidentified,not_converted
technical_specialist,40,high_school,single,mobile,January,28,105,1,other_outcome,not_converted
business_owner,58,high_school,divorced,mobile,May,7,270,3,unidentified,not_converted
manual_worker,27,high_school,married,mobile,February,5,7,7,unsuccessful,not_converted
manual_worker,24,high_school,married,unidentified,May,16,300,1,unidentified,not_converted
administrative_staff,53,high_school,married,mobile,May,13,177,1,unsuccessful,not_converted
executive,50,college,single,mobile,May,8,207,1,unidentified,not_converted
manual_worker,29,high_school,single,mobile,May,4,174,5,unsuccessful,not_converted
business_owner,50,high_school,married,mobile,May,7,141,8,other_outcome,not_converted
technical_specialist,37,high_school,divorced,mobile,July,16,46,1,unidentified,not_converted
executive,30,college,single,mobile,August,12,154,2,unidentified,not_converted
executive,38,college,married,mobile,August,20,471,10,unidentified,not_converted
manual_worker,44,elementary_school,married,mobile,April,17,273,1,other_outcome,not_converted
executive,38,college,married,mobile,August,5,210,2,unidentified,not_converted
executive,50,college,married,mobile,August,12,246,6,unidentified,not_converted
technical_specialist,33,high_school,married,mobile,August,13,212,3,unidentified,not_converted
independent_worker,35,high_school,single,mobile,November,17,1012,1,unidentified,not_converted
manual_worker,40,elementary_school,married,mobile,May,14,221,2,unidentified,not_converted
executive,43,college,married,mobile,August,25,143,4,unidentified,not_converted
administrative_staff,30,high_school,married,mobile,May,11,290,1,unidentified,not_converted
executive,33,college,single,mobile,April,8,1190,1,other_outcome,converted
executive,44,college,married,landline,April,16,201,2,other_outcome,not_converted
manual_worker,33,high_school,divorced,mobile,July,25,374,2,unidentified,not_converted
manual_worker,47,high_school,married,mobile,January,29,1101,1,unidentified,converted
executive,31,college,married,mobile,May,14,46,3,unidentified,not_converted
service_worker,33,college,married,mobile,May,25,70,1,unidentified,not_converted
administrative_staff,44,high_school,married,mobile,January,28,180,2,unidentified,not_converted
executive,34,college,single,mobile,May,7,191,1,unsuccessful,not_converted
manual_worker,47,elementary_school,married,mobile,August,13,170,2,unidentified,not_converted
administrative_staff,33,college,married,mobile,November,21,134,1,unidentified,not_converted
executive,44,college,married,landline,August,12,201,1,successful,converted
manual_worker,41,high_school,married,mobile,April,20,142,12,unsuccessful,not_converted
executive,37,college,married,mobile,January,28,230,1,other_outcome,not_converted
administrative_staff,27,high_school,married,mobile,May,13,307,2,unidentified,not_converted
executive,57,college,married,mobile,June,5,232,1,unidentified,converted
technical_specialist,36,college,married,mobile,November,17,57,1,unidentified,not_converted
executive,30,college,single,mobile,August,27,19,21,unidentified,not_converted
executive,37,college,single,mobile,November,17,116,2,unsuccessful,not_converted
jobless,36,college,single,mobile,February,3,225,4,unidentified,not_converted
technical_specialist,37,college,married,mobile,June,25,266,2,other_outcome,converted
technical_specialist,34,high_school,married,mobile,July,9,628,1,unidentified,not_converted
executive,42,college,divorced,mobile,August,14,103,2,unidentified,not_converted
retired_worker,77,college,married,mobile,September,27,990,4,unidentified,not_converted
technical_specialist,50,high_school,divorced,mobile,July,17,903,4,unidentified,not_converted
domestic_worker,34,high_school,married,landline,July,21,305,7,unidentified,not_converted
technical_specialist,38,high_school,divorced,mobile,April,16,867,1,unidentified,not_converted
manual_worker,53,elementary_school,divorced,unidentified,May,30,1980,2,unidentified,converted
manual_worker,45,elementary_school,married,mobile,August,18,230,8,unidentified,not_converted
manual_worker,32,elementary_school,married,unidentified,May,21,127,2,unidentified,not_converted
service_worker,27,high_school,married,unidentified,June,30,85,5,unidentified,not_converted
domestic_worker,42,high_school,divorced,mobile,July,22,178,1,unidentified,not_converted
administrative_staff,42,high_school,single,unidentified,June,5,237,3,unidentified,not_converted
executive,40,college,married,unidentified,May,5,39,1,unidentified,not_converted
jobless,48,elementary_school,married,mobile,November,21,213,2,unidentified,not_converted
executive,32,college,married,unidentified,May,28,497,2,unidentified,not_converted
executive,55,college,married,unidentified,June,12,298,3,unidentified,not_converted
administrative_staff,43,high_school,married,mobile,April,20,131,2,unsuccessful,not_converted
student,27,high_school,single,mobile,July,17,320,2,unidentified,not_converted
business_owner,44,elementary_school,married,mobile,July,7,199,7,unidentified,not_converted
executive,55,unidentified,married,mobile,January,28,271,2,unidentified,not_converted
manual_worker,27,elementary_school,single,mobile,July,23,213,1,unidentified,not_converted
manual_worker,58,unidentified,married,mobile,August,25,50,23,unidentified,not_converted
student,22,unidentified,single,mobile,July,30,283,1,other_outcome,converted
executive,36,college,single,mobile,August,18,92,5,unidentified,not_converted
manual_worker,51,elementary_school,married,mobile,April,20,78,1,unidentified,not_converted
unidentified,45,high_school,single,unidentified,June,18,1487,1,unidentified,not_converted
manual_worker,32,high_school,married,unidentified,May,26,396,1,unidentified,not_converted
manual_worker,43,high_school,married,landline,May,8,128,8,other_outcome,not_converted
service_worker,29,high_school,married,unidentified,May,30,238,3,unidentified,not_converted
service_worker,36,high_school,married,mobile,May,8,39,3,unidentified,not_converted
executive,51,college,married,mobile,July,13,371,2,other_outcome,converted
executive,40,college,married,unidentified,May,30,138,1,unidentified,not_converted
manual_worker,35,elementary_school,married,unidentified,May,23,247,3,unidentified,not_converted
manual_worker,51,high_school,single,unidentified,May,27,253,16,unidentified,not_converted
technical_specialist,35,college,single,landline,May,28,32,2,unidentified,not_converted
executive,44,elementary_school,single,mobile,July,29,163,3,unidentified,not_converted
student,28,high_school,single,mobile,May,12,32,1,unidentified,not_converted
technical_specialist,37,unidentified,married,mobile,May,8,66,1,unsuccessful,not_converted
technical_specialist,49,high_school,married,unidentified,June,19,13,1,unidentified,not_converted
manual_worker,39,high_school,single,mobile,May,7,722,2,unidentified,not_converted
manual_worker,40,elementary_school,married,mobile,May,11,240,2,unsuccessful,not_converted
jobless,43,elementary_school,married,unidentified,May,15,241,2,unidentified,not_converted
executive,53,college,divorced,mobile,November,19,67,3,unidentified,not_converted
technical_specialist,35,high_school,single,mobile,January,30,163,1,unsuccessful,not_converted
domestic_worker,55,unidentified,divorced,landline,July,31,91,2,unidentified,not_converted
manual_worker,40,high_school,married,mobile,November,19,259,1,unsuccessful,not_converted
executive,31,college,married,mobile,June,19,241,5,unidentified,not_converted
technical_specialist,42,high_school,single,unidentified,May,15,87,1,unidentified,not_converted
executive,40,college,married,mobile,August,27,166,9,unidentified,not_converted
jobless,37,high_school,single,mobile,May,7,739,2,unsuccessful,not_converted
independent_worker,54,high_school,married,mobile,February,2,165,1,unsuccessful,not_converted
technical_specialist,39,college,married,mobile,August,13,78,6,unidentified,not_converted
service_worker,34,high_school,married,unidentified,May,5,78,1,unidentified,not_converted
technical_specialist,32,high_school,single,unidentified,May,20,115,1,unidentified,not_converted
manual_worker,41,elementary_school,married,unidentified,May,5,110,2,unidentified,not_converted
executive,45,college,single,mobile,October,18,310,1,unsuccessful,converted
service_worker,50,high_school,married,mobile,April,20,102,6,unsuccessful,not_converted
executive,60,elementary_school,married,unidentified,June,6,126,4,unidentified,not_converted
technical_specialist,35,high_school,single,mobile,May,18,45,2,unidentified,not_converted
manual_worker,34,high_school,divorced,mobile,July,22,1408,2,unidentified,not_converted
technical_specialist,28,high_school,single,mobile,February,18,416,2,unidentified,converted
executive,44,high_school,married,unidentified,May,29,158,1,unidentified,not_converted
administrative_staff,31,high_school,single,mobile,February,9,284,2,unidentified,not_converted
unidentified,29,unidentified,single,unidentified,May,29,346,6,unidentified,not_converted
technical_specialist,32,high_school,married,mobile,April,8,150,1,unsuccessful,converted
administrative_staff,59,high_school,married,mobile,May,8,206,1,unidentified,not_converted
administrative_staff,31,high_school,single,mobile,July,9,236,1,unidentified,not_converted
service_worker,55,high_school,married,mobile,August,5,356,1,unidentified,not_converted
administrative_staff,28,high_school,single,mobile,May,6,150,1,unidentified,not_converted
administrative_staff,40,elementary_school,married,unidentified,June,17,77,1,unidentified,not_converted
manual_worker,36,high_school,married,mobile,February,4,235,1,unsuccessful,not_converted
manual_worker,48,elementary_school,married,mobile,July,31,114,7,unidentified,not_converted
service_worker,49,high_school,married,mobile,July,23,194,1,unidentified,not_converted
service_worker,59,elementary_school,married,mobile,August,7,1934,2,unidentified,not_converted
administrative_staff,45,high_school,divorced,unidentified,May,8,298,5,unidentified,not_converted
administrative_staff,40,high_school,single,mobile,May,11,204,2,unidentified,not_converted
technical_specialist,35,high_school,married,mobile,January,29,99,1,unsuccessful,not_converted
executive,30,college,single,mobile,March,10,272,1,unidentified,converted
administrative_staff,60,high_school,married,mobile,March,5,115,1,unidentified,converted
technical_specialist,54,college,married,mobile,May,26,145,1,unidentified,not_converted
independent_worker,29,college,single,mobile,July,1,302,2,successful,not_converted
executive,42,college,married,mobile,August,19,121,4,unidentified,not_converted
independent_worker,40,high_school,married,mobile,April,16,174,2,unsuccessful,not_converted
manual_worker,40,elementary_school,married,mobile,April,16,54,1,unidentified,not_converted
administrative_staff,32,high_school,single,unidentified,May,27,214,2,unidentified,not_converted
administrative_staff,34,college,married,mobile,June,2,269,1,unsuccessful,not_converted
manual_worker,45,high_school,married,unidentified,May,19,125,5,unidentified,not_converted
retired_worker,79,elementary_school,married,landline,July,8,1006,2,unidentified,converted
administrative_staff,34,high_school,single,mobile,November,20,292,2,unsuccessful,not_converted
manual_worker,36,high_school,married,mobile,November,17,166,1,unsuccessful,not_converted
service_worker,55,unidentified,married,unidentified,May,16,764,7,unidentified,not_converted
manual_worker,29,high_school,single,mobile,May,18,72,1,unidentified,not_converted
administrative_staff,58,high_school,single,unidentified,June,20,66,6,unidentified,not_converted
manual_worker,52,high_school,single,unidentified,June,27,185,3,unidentified,not_converted
executive,32,college,married,mobile,July,21,221,8,unidentified,not_converted
technical_specialist,32,high_school,single,unidentified,May,27,156,2,unidentified,not_converted
executive,67,college,married,mobile,November,10,344,2,successful,converted
manual_worker,24,high_school,single,mobile,May,15,311,1,unidentified,not_converted
technical_specialist,36,high_school,single,mobile,August,21,42,1,unidentified,not_converted
independent_worker,31,college,married,mobile,August,22,579,2,unidentified,converted
administrative_staff,37,high_school,married,unidentified,June,19,176,2,unidentified,not_converted
technical_specialist,30,college,married,mobile,July,10,81,6,unidentified,not_converted
executive,28,college,married,mobile,January,18,204,2,successful,not_converted
retired_worker,81,elementary_school,married,landline,November,13,135,1,other_outcome,converted
domestic_worker,37,elementary_school,married,landline,July,15,265,4,unidentified,not_converted
unidentified,29,high_school,single,mobile,January,28,59,1,unidentified,not_converted
executive,47,college,single,mobile,November,9,255,3,unsuccessful,not_converted
student,22,unidentified,single,mobile,November,16,365,1,unidentified,not_converted
manual_worker,30,high_school,single,mobile,July,28,171,3,unidentified,not_converted
executive,49,college,married,unidentified,June,12,691,1,unidentified,not_converted
executive,32,college,married,mobile,April,30,280,1,unidentified,not_converted
executive,29,high_school,married,unidentified,June,2,85,4,unidentified,not_converted
manual_worker,50,elementary_school,married,mobile,May,11,445,2,other_outcome,not_converted
service_worker,29,high_school,married,mobile,December,18,454,6,unsuccessful,not_converted
executive,42,college,divorced,mobile,July,22,87,2,unidentified,not_converted
executive,37,high_school,married,mobile,January,28,132,1,unidentified,not_converted
technical_specialist,30,high_school,single,unidentified,May,6,369,1,unidentified,not_converted
executive,36,college,married,mobile,August,4,230,1,unidentified,not_converted
retired_worker,58,elementary_school,divorced,unidentified,May,9,225,1,unidentified,not_converted
administrative_staff,48,unidentified,divorced,mobile,May,14,243,1,unidentified,not_converted
jobless,44,high_school,married,unidentified,May,14,21,11,unidentified,not_converted
jobless,59,high_school,married,mobile,February,4,213,1,unsuccessful,not_converted
service_worker,50,high_school,married,mobile,July,23,59,4,unidentified,not_converted
administrative_staff,33,high_school,single,unidentified,May,20,351,1,unidentified,not_converted
technical_specialist,41,high_school,divorced,mobile,January,30,249,3,unsuccessful,not_converted
administrative_staff,35,high_school,married,mobile,November,17,70,3,unidentified,not_converted
executive,46,college,divorced,mobile,November,21,183,4,unidentified,not_converted
administrative_staff,52,high_school,married,mobile,September,25,105,1,unidentified,not_converted
administrative_staff,33,high_school,married,mobile,April,14,706,2,unidentified,not_converted
manual_worker,39,elementary_school,divorced,unidentified,June,5,181,2,unidentified,not_converted
technical_specialist,28,college,single,mobile,February,2,100,1,unidentified,not_converted
administrative_staff,36,high_school,divorced,mobile,May,6,222,1,unidentified,not_converted
retired_worker,61,high_school,married,mobile,August,4,219,1,unidentified,converted
technical_specialist,44,high_school,divorced,mobile,July,29,637,3,unidentified,not_converted
administrative_staff,47,high_school,married,mobile,September,24,261,1,unidentified,converted
service_worker,34,unidentified,married,unidentified,June,27,32,1,unidentified,not_converted
manual_worker,35,high_school,married,landline,July,28,66,2,unidentified,not_converted
technical_specialist,42,high_school,married,mobile,August,5,314,1,unidentified,not_converted
technical_specialist,40,college,single,unidentified,May,28,83,4,unidentified,not_converted
service_worker,34,high_school,married,mobile,July,18,185,1,unidentified,not_converted
executive,47,college,married,mobile,July,7,175,1,unidentified,not_converted
manual_worker,54,high_school,married,unidentified,June,12,124,1,unidentified,not_converted
service_worker,32,high_school,married,mobile,May,18,93,1,unsuccessful,not_converted
manual_worker,37,elementary_school,married,mobile,May,15,655,3,unsuccessful,converted
administrative_staff,33,college,single,mobile,May,7,31,1,unsuccessful,not_converted
executive,33,college,married,mobile,April,30,187,10,unidentified,not_converted
administrative_staff,35,high_school,married,unidentified,July,4,105,3,unidentified,not_converted
student,22,high_school,single,unidentified,May,15,282,1,unidentified,not_converted
manual_worker,31,high_school,single,unidentified,May,28,85,2,unidentified,not_converted
manual_worker,56,elementary_school,married,landline,April,9,126,4,unidentified,not_converted
executive,56,college,divorced,mobile,November,17,105,1,unidentified,not_converted
executive,56,high_school,married,mobile,November,21,150,2,unidentified,not_converted
retired_worker,59,college,divorced,mobile,July,8,136,1,unidentified,not_converted
retired_worker,58,high_school,married,mobile,May,28,294,2,unsuccessful,not_converted
executive,52,college,married,mobile,August,25,472,10,unidentified,not_converted
technical_specialist,38,unidentified,single,mobile,July,30,331,4,unidentified,not_converted
administrative_staff,49,high_school,married,unidentified,June,30,217,2,unidentified,not_converted
service_worker,34,high_school,married,unidentified,May,8,159,4,unidentified,not_converted
executive,43,high_school,single,mobile,July,18,76,4,unidentified,not_converted
executive,44,college,married,mobile,February,5,80,7,unsuccessful,not_converted
executive,31,college,single,unidentified,May,9,154,2,unidentified,not_converted
service_worker,51,high_school,married,mobile,January,30,436,1,unsuccessful,not_converted
technical_specialist,62,high_school,married,landline,November,16,446,13,other_outcome,not_converted
domestic_worker,59,high_school,married,landline,June,5,153,1,unidentified,not_converted
technical_specialist,57,college,married,mobile,August,6,224,4,unidentified,not_converted
service_worker,30,high_school,married,unidentified,May,28,187,4,unidentified,not_converted
manual_worker,51,high_school,married,unidentified,May,15,99,2,unidentified,not_converted
manual_worker,37,unidentified,married,mobile,October,1,143,1,other_outcome,not_converted
domestic_worker,58,elementary_school,married,landline,May,15,71,5,unsuccessful,not_converted
manual_worker,41,elementary_school,married,mobile,April,20,170,1,unsuccessful,not_converted
manual_worker,39,high_school,married,mobile,April,30,53,1,unsuccessful,not_converted
business_owner,41,college,married,mobile,May,8,196,2,other_outcome,not_converted
service_worker,36,high_school,married,mobile,July,30,843,2,unidentified,converted
technical_specialist,33,high_school,single,mobile,August,20,627,2,unidentified,converted
executive,27,college,single,mobile,July,9,75,1,unidentified,not_converted
retired_worker,54,elementary_school,married,unidentified,June,16,64,2,unidentified,not_converted
executive,38,college,married,mobile,February,3,389,3,unidentified,not_converted
administrative_staff,35,high_school,married,mobile,March,2,136,6,unidentified,not_converted
administrative_staff,53,elementary_school,single,mobile,July,17,155,6,unidentified,not_converted
manual_worker,43,elementary_school,married,landline,July,7,245,5,unidentified,not_converted
executive,30,college,single,mobile,August,10,179,3,successful,converted
service_worker,44,high_school,married,mobile,July,31,106,6,unidentified,not_converted
manual_worker,37,high_school,divorced,mobile,July,8,338,2,unidentified,not_converted
technical_specialist,36,high_school,married,landline,May,14,42,3,unidentified,not_converted
manual_worker,34,high_school,married,landline,July,22,351,11,unidentified,not_converted
manual_worker,61,elementary_school,married,landline,July,28,186,9,unidentified,not_converted
technical_specialist,41,high_school,married,unidentified,May,6,29,3,unidentified,not_converted
manual_worker,28,high_school,married,mobile,May,15,224,1,unidentified,not_converted
administrative_staff,41,college,married,mobile,August,7,273,1,unsuccessful,converted
executive,38,college,married,mobile,January,29,151,2,unidentified,not_converted
manual_worker,56,elementary_school,married,mobile,July,9,261,3,unidentified,not_converted
student,24,high_school,single,mobile,February,18,185,1,unidentified,converted
executive,31,college,single,mobile,April,15,185,2,unidentified,not_converted
executive,40,college,married,mobile,November,19,140,1,unsuccessful,not_converted
executive,42,college,married,mobile,November,19,709,2,unidentified,converted
service_worker,49,unidentified,divorced,mobile,July,31,203,7,unidentified,not_converted
executive,45,college,married,mobile,August,14,117,1,unidentified,not_converted
manual_worker,48,high_school,married,unidentified,June,20,238,3,unidentified,not_converted
administrative_staff,46,high_school,divorced,mobile,July,28,573,5,unidentified,converted
executive,41,college,single,unidentified,June,9,388,12,unidentified,not_converted
technical_specialist,34,high_school,married,mobile,August,28,535,2,unidentified,converted
technical_specialist,55,college,married,mobile,July,22,114,1,unidentified,not_converted
executive,55,high_school,married,unidentified,May,13,309,2,unidentified,not_converted
jobless,48,high_school,married,mobile,August,4,198,1,unidentified,not_converted
administrative_staff,56,high_school,divorced,mobile,July,28,173,2,unidentified,not_converted
technical_specialist,27,high_school,single,mobile,July,25,282,2,unidentified,not_converted
technical_specialist,54,high_school,married,mobile,August,4,226,1,unidentified,not_converted
technical_specialist,32,high_school,married,mobile,July,29,403,3,unidentified,not_converted
technical_specialist,34,high_school,married,mobile,August,12,201,2,unsuccessful,not_converted
executive,49,college,married,mobile,August,29,86,2,unidentified,not_converted
manual_worker,46,elementary_school,married,landline,July,25,93,11,unidentified,not_converted
service_worker,31,high_school,married,mobile,February,2,69,1,unsuccessful,not_converted
administrative_staff,37,high_school,single,mobile,August,20,75,1,unidentified,not_converted
technical_specialist,39,elementary_school,married,unidentified,May,15,110,1,unidentified,not_converted
executive,31,college,married,mobile,October,29,164,2,unidentified,converted
unidentified,54,high_school,married,mobile,February,11,449,1,successful,converted
manual_worker,39,elementary_school,married,unidentified,June,6,178,1,unidentified,not_converted
service_worker,45,high_school,married,unidentified,May,13,146,1,unidentified,not_converted
administrative_staff,43,high_school,married,mobile,July,21,228,3,unidentified,not_converted
technical_specialist,57,high_school,single,mobile,November,20,104,4,unsuccessful,not_converted
executive,45,college,divorced,mobile,November,17,42,2,unidentified,not_converted
administrative_staff,37,high_school,single,unidentified,May,26,460,1,unidentified,not_converted
technical_specialist,34,high_school,married,mobile,August,29,67,4,unidentified,not_converted
executive,52,college,married,mobile,May,17,376,1,successful,converted
executive,37,college,married,mobile,March,5,319,1,unidentified,converted
manual_worker,32,high_school,single,unidentified,June,2,53,1,unidentified,not_converted
manual_worker,36,unidentified,married,unidentified,May,20,268,2,unidentified,not_converted
technical_specialist,31,college,single,mobile,September,4,293,1,successful,converted
service_worker,46,college,married,unidentified,June,9,445,2,unidentified,not_converted
administrative_staff,35,high_school,married,unidentified,June,9,243,2,unidentified,not_converted
administrative_staff,40,high_school,married,mobile,August,12,238,1,unidentified,not_converted
manual_worker,45,elementary_school,married,landline,July,24,32,1,unidentified,not_converted
technical_specialist,51,high_school,married,mobile,August,13,233,8,unidentified,not_converted
independent_worker,42,college,married,mobile,August,25,15,19,unidentified,not_converted
jobless,48,high_school,married,mobile,January,14,517,1,successful,converted
manual_worker,36,elementary_school,married,unidentified,May,27,20,4,unidentified,not_converted
technical_specialist,37,high_school,single,mobile,November,21,39,4,unsuccessful,not_converted
technical_specialist,36,high_school,single,mobile,August,26,109,14,unidentified,not_converted
manual_worker,45,elementary_school,married,mobile,August,18,128,4,unidentified,not_converted
retired_worker,58,elementary_school,married,mobile,June,15,592,1,unidentified,not_converted
technical_specialist,37,college,single,mobile,May,13,234,1,successful,converted
domestic_worker,39,elementary_school,single,unidentified,June,18,113,2,unidentified,not_converted
manual_worker,34,high_school,married,mobile,November,18,148,2,other_outcome,not_converted
executive,34,college,single,unidentified,June,2,83,1,unidentified,not_converted
manual_worker,41,high_school,divorced,unidentified,June,3,85,1,unidentified,not_converted
technical_specialist,47,high_school,married,mobile,August,21,184,3,unidentified,not_converted
executive,47,college,single,mobile,July,8,229,1,unsuccessful,converted
jobless,38,high_school,single,mobile,August,27,44,3,unidentified,not_converted
independent_worker,46,high_school,married,unidentified,May,14,166,5,unidentified,not_converted
administrative_staff,51,unidentified,married,mobile,August,20,18,7,unidentified,not_converted
executive,32,college,married,mobile,May,26,61,1,unsuccessful,not_converted
technical_specialist,51,high_school,married,mobile,November,17,504,1,unsuccessful,not_converted
executive,31,college,married,unidentified,May,14,298,1,unidentified,not_converted
service_worker,27,unidentified,married,mobile,January,29,128,1,unidentified,not_converted
technical_specialist,44,high_school,married,unidentified,May,30,613,2,unidentified,not_converted
independent_worker,35,high_school,married,mobile,August,22,140,8,unidentified,not_converted
executive,48,unidentified,single,mobile,February,9,138,5,other_outcome,not_converted
